video_id,channel_id,title,author,length,fps,resolution,avg_bitrate,description,keywords,publish_date,width,height,frame_count
F1Q8R2XJ5cs,UCbQkjf9DtYuiPdpPs5QJB7A,You Can Make Playdough | Penfield Children's Center,Penfield Children,156,30,1080p,128kbps,"Children love playing with playdough.  It gives them an opportunity to use their imaginations, create their own sculptures and even strengthen fine motor skills.  Watch the following video to see how easy it is for adults and children to make homemade playdough.  Minimal effort is required for endless hours of fun.

Learn more about the Kohl's Building Blocks program:
http://penfieldbuildingblocks.org

Learn More about Penfield Children's Center:
http://penfieldchildren.org/

Donate online today:
http://bit.ly/1bKUSUI

Subscribe on YouTube:
http://YouTube.com/subscription_cente...

Like us on Facebook:
https://www.facebook.com/PenfieldChil...

Follow us on Twitter:
https://twitter.com/PenfieldCenter","['children', 'Penfield', 'child', 'playdough', 'DIY', 'projects', 'activities', 'recipes', 'Child Development (Taxonomy Subject)', 'Parents', 'Family', 'Education', 'Parent', 'Teachers', 'Teacher']",2014-01-29,1920,1080,4667
Cztb-0cliGA,UCbQkjf9DtYuiPdpPs5QJB7A,Learning Through Play | Penfield Children's Center,Penfield Children,174,30,1080p,128kbps,"Through play, a child has the opportunity to engage his imagination and explore his surroundings.  But, play also helps to enhance a child’s concentration, attention, creativity and overall cognitive development.  The video above offers examples of everyday play that are not only fun, but also encourage healthy development.  

Learn more about the Kohl's Building Blocks program:
http://penfieldbuildingblocks.org

Learn More about Penfield Children's Center:
http://penfieldchildren.org/

Donate online today:
http://bit.ly/1bKUSUI

Subscribe on YouTube:
http://YouTube.com/subscription_cente...

Like us on Facebook:
https://www.facebook.com/PenfieldChil...

Follow us on Twitter:
https://twitter.com/PenfieldCenter","['Penfield', ""Children's"", 'Center', 'Games (TV Genre)', 'Learning Through Play', 'Video Game Culture', 'Child Development (Literature Subject)']",2015-02-11,1920,1080,5224
zUdMBtK2UVE,UC9tRyMbnMaUP-t5LHVNfUig,Toddler Development Observation,Instructor Pedro,2083,30,1080p,128kbps,"This video is intended to support student learning outcomes within early childhood education. This video will focus on a 15 month old as she explores her environment and interact with different materials. This video demonstrates an infants cognitive, social- emotional, and physical abilities.

Age in Months: 15 months

Time of day observation conducted: 9/22/2020 @ 10:00

Observation Site or Location: Home 

Number of Adults present: 1 

Number of Children present: 1 (5 Years)",[],2020-09-22,1920,1080,62423
iWYy8n6mSwc,UC0580lt7nrzOCuiQT-MEVUA,Babies and toddlers: Amazing learners - Video 3,ECA Learning Hub,891,25,720p,128kbps,"Babies and toddlers use every one of their senses and abilities to explore and find out about the physical world. Over the first three years the variety of ways they have to interact with the physical world expands exponentially, and skills acquired very early become more refined. 

From very early in life children show that they like to have an impact, to make something happen or make a difference.","['Infant (Film Subject)', 'Toddler (Risk Factor)', 'Early Childhood Australia', 'Victorian Curriculum And Assessment Authority (Organization)', 'ECA Learning Hub', 'Early Childhood', 'Childcare', 'Quality', 'Education', 'National Quality Framework', 'National Quality Standard', 'NQS', 'Professional Learning Program', 'Talking about practice series', 'TAPS', 'Early Years Learning Framework', 'EYLF', 'Day care', 'Being Belonging Becoming', 'EYLF Videos', 'EYLF PLP', 'Family', 'outside schools hours care']",2014-09-18,1280,720,22264
8db0Gcv3V10,UC0580lt7nrzOCuiQT-MEVUA,Babies and toddlers: Amazing learners - Video 2,ECA Learning Hub,648,25,720p,128kbps,"Learning about others and learning to be with others is a complex and multifaceted area of learning that begins at birth and lasts a lifetime. The EYLF, VEYLDF and Framework for School Age Care (My Time, Our Place) include this area of learning within the Learning Outcome ‘Children are connected with and contribute to their world’. Get the information booklet here: bit.ly/1BFfdbI","['Infant (Film Subject)', 'Toddler (Risk Factor)', 'Health (Industry)', 'Early Childhood Australia', 'ECA Learning Hub', 'VCAA', 'Babies and toddlers', 'Early Childhood', 'Childcare', 'Quality', 'Education', 'National Quality Framework', 'National Quality Standard', 'NQS', 'Professional Learning Program', 'Talking about practice series', 'TAPS', 'Early Years Learning Framework', 'EYLF', 'Day care', 'Being Belonging Becoming', 'EYLF Videos', 'EYLF PLP', 'Family', 'preschool', 'kindergarten', 'outside schools hours care', 'Educational', 'Parents']",2014-09-16,1280,720,16211
DGls-Z4e6OI,UC0580lt7nrzOCuiQT-MEVUA,Babies and toddlers: Amazing learners - Video 1,ECA Learning Hub,954,25,720p,128kbps,"Download the information booklet here: bit.ly/1BFfdbI

Learning in the first three years is significant in part because skills, understandings and dispositions acquired lay the foundation for success in school and in life. Of course, supporting learning is not only about investing in the future but also about contributing to the quality of children’s lives in the present.","['Infant (Film Subject)', 'Toddler (Risk Factor)', 'Health (Industry)', 'Early Childhood Australia', 'ECA Learning Hub', 'VCAA', 'Babies and toddlers', 'Early Childhood', 'Childcare', 'Quality', 'Education', 'National Quality Framework', 'National Quality Standard', 'NQS', 'Professional Learning Program', 'Early Years Learning Framework', 'EYLF', 'Day care', 'Being Belonging Becoming', 'EYLF Videos', 'EYLF PLP', 'Family', 'preschool', 'kindergarten', 'outside schools hours care', 'Educational', 'Parents', 'Parenting']",2014-09-15,1280,720,23852
smwfiZd8HLc,UC6rmcst_CnfHfOUjEtqvN4A,INDOOR Toddler Play & Activity Ideas (2-4 years old) // Gautam Pragya,Gautam Pragya,425,60,1080p,128kbps,"🌷 Shop Homeschooling Workbooks Here: https://www.gautampragya.com/shop (Bundle is on 40% OFF Right Now
☁ Shop All The Homeschooling Workbooks Here through in USD/ or any other currency: https://www.gautampragya.com/paypalshop (Bundle is on 40% OFF)

This video is all about how and what to teach, entertain & play with a 3-year-old toddler/ baby at home. Shared best tips on how I taught alphabets, numbers, shapes, colors, basic words, vegetables, fruits, animals, birds' names and much more. This you can teach to 2, 3 & 4-year toddlers at home. It develops a special bond between you and your child when we teach them at home. To apply these tips watch this video ""Indoor Toddler Play & Activity ideas (2-4 years old)"" till the end.

🌼HOW & WHATto teach 2-year-old https://youtu.be/AfRGLcYerwM
🌼MAA Kya Hoti Hain (Short Film): https://youtu.be/loon7ZY36HI

SHOP HERE:
Music Adventure Box: https://musicadventurebox.com/
Alphabet Flash Cards: https://amzn.to/37iXxY4
Board Game: https://amzn.to/2ShVEH0
Mumma Baby Puzzle: https://amzn.to/2vpLISG

☁  Find Me On:-
🌼FACEBOOK       https://www.facebook.com/Gautam123Pragya/
🌼TWITTER              http://bit.ly/2kTnK98
🌼INSTAGRAM     https://www.instagram.com/gautampragya06/
🌼BUSINESS INQUIRY  workwithpragya@gmail.com

If you liked this  ""INDOOR Toddler Play & Activity ideas (2-4 years old)"", please give it a thumbs up. 

If you'd like to watch more videos like ""INDOOR Toddler Play & Activity ideas (2-4 years old)"", please subscribe.

If you have any more tips to share or any feedback about ""INDOOR Toddler Play & Activity ideas (2-4 years old)"", please comment below.

Title:  ""INDOOR Toddler Play & Activity ideas (2-4 years old)""

I had Partnered with Music Adventure Box today, all that I shared are my genuine reviews. Go check them out & support the small business.

#toddleractivites #toddlerteaching #todddler #entertaintoddler #toddlerlearningacativities #gautampragya #funactivities #learningactivities
This Video May Have Some Affiliate Links** Meaning If You will buy any products through those links I will get a small bit of commission","['rainy day activities for toddlers', 'rainy day activities', 'indoor activities', 'kids activities', 'activities for toddlers', 'toddler activities', 'toddler play ideas', 'toddler activities 2 year old', 'indoor activities for kids', 'how to entertain a 2 year old toddler', 'what to do on a rainy day', 'activities for kids', 'how to teach 2 year baby at home', 'how to teach 2 year old', 'indoor toddler activities', 'indoor toddler play', 'activities for 4 year olds', 'activities for 2 year olds', 'gautam pragya']",2020-02-12,1920,1080,25445
NIk1-ck4c6Q,UCEjCyBoWP57QRkmFRz-aOGw,"How to teach Kids  | from a Prague kindergarten, part 1 | English for Children",WOW ENGLISH,1193,25,1080p,128kbps,"Say hello to Steve and Maggie at their LIVE SHOW on 30th December! Go to https://thrillz-store.co.uk/products/steve-maggie-show-on-30th-december-at-3-30pm to get one of a limited number of tickets!!!
-
How to manage 15+ Czech five year old kids in your classroom, if you only speak English? It´s easy, no worries. You need a clear and structured lesson plan, you need to be a leader and you need to show a big warm smile. Use body language too and you will succeed. Children love to be surprised, entertained, they love physical activities and once you do all of it, you can introduce and drill any language you like, even comparatives.","['English for Children', 'الإنجليزية للأطفال', 'Angličtina pro děti', '英语儿童', 'Engelsk for børn', 'Englanti for Children', 'Anglais pour les enfants', 'אנגלית לילדים', 'Engleski za djecu', 'Bahasa Inggris untuk Anak-anak', 'Inglese per Bambini', '子供のための英語', '어린이를위한 영어', 'Englisch für Kinder', 'Engelsk for barn', 'Angielski dla dzieci', 'Inglês para Crianças', 'Английский для детей', 'Angličtina pre deti', 'Inglés para Niños', 'ภาษาอังกฤษสำหรับเด็ก', 'Çocuklar için İngilizce', 'Tiếng Anh cho trẻ em']",2013-04-23,1920,1080,29823
9DNwRwt5kI4,UCEjCyBoWP57QRkmFRz-aOGw,"How to teach Kids  | from a Prague kindergarten, part 2 | English for Children",WOW ENGLISH,799,25,1080p,128kbps,"Say hello to Steve and Maggie at their LIVE SHOW on 30th December! Go to https://thrillz-store.co.uk/products/steve-maggie-show-on-30th-december-at-3-30pm to get one of a limited number of tickets!!!
-
Make a circle, it´s time to start. You can sing slowly and quickly, you can do actions, you can count and clap and turn around at the same time. Children like to move, do physical activities like “Find something … (colour)” or “Stand up if … (you´re wearing blue).”  And you should always push for full sentences. Your lessons are then full of energy and happy excited faces.","['English for Children', 'الإنجليزية للأطفال', 'Angličtina pro děti', '英语儿童', 'Engelsk for børn', 'Englanti for Children', 'Anglais pour les enfants', 'אנגלית לילדים', 'Engleski za djecu', 'Bahasa Inggris untuk Anak-anak', 'Inglese per Bambini', '子供のための英語', '어린이를위한 영어', 'Englisch für Kinder', 'Engelsk for barn', 'Angielski dla dzieci', 'Inglês para Crianças', 'Английский для детей', 'Angličtina pre deti', 'Inglés para Niños', 'ภาษาอังกฤษสำหรับเด็ก', 'Çocuklar için İngilizce', 'Tiếng Anh cho trẻ em']",2013-04-24,1920,1080,19969
Kaf6jiHMmYc,UCZafDtpShhUyMqeBKm2SXsg,"PROFESSIONALS— Joint Attention, Play & Engagement Regulation for Kids w/ Autism (PART 2)",Effective Child Therapy,2621,30,720p,128kbps,"Overview of Workshop: In this workshop Dr. Kasari describes how to assess joint attention and play in young children with autism. Next, she identifies ways in which clinicians can create individualized targets for intervening with a child. Lastly, she illustrates techniques for intervening on children's social communication and play skills.

Connie Kasari, Ph.D., is Professor of Education and Psychiatry at UCLA, where she conducts research on early interventions and interventions for children in their schools. Since 1990 she has been on the faculty at UCLA where she teaches both graduate and undergraduate courses. She is a founding member of the Center for Autism Research and Treatment at UCLA and has been actively involved in autism research for the past 25 years. Her current research focuses on developing targeted interventions for early social communication development in at risk infants, toddlers and preschoolers with autism, and peer relationships for school aged children with autism. She is involved in several randomized controlled trials, with her most recent work involving multi-site studies for interventions aimed at underserved and under-represented populations of children with autism. She has published widely on topics related to social, emotional, and communication development and intervention in autism. She is on the treatment advisory board of the Autism Speaks Foundation, and regularly presents to both academic and practitioner audiences locally, nationally and internationally.",['Autism Spectrum Disorders'],2018-10-19,1280,720,78547
bI1GohGXSt0,UCZafDtpShhUyMqeBKm2SXsg,"PROFESSIONALS— Joint Attention, Play & Engagement Regulation for Kids w/ Autism (PART 3)",Effective Child Therapy,2846,30,720p,128kbps,"Overview of Workshop: In this workshop Dr. Kasari describes how to assess joint attention and play in young children with autism. Next, she identifies ways in which clinicians can create individualized targets for intervening with a child. Lastly, she illustrates techniques for intervening on children's social communication and play skills.

Connie Kasari, Ph.D., is Professor of Education and Psychiatry at UCLA, where she conducts research on early interventions and interventions for children in their schools. Since 1990 she has been on the faculty at UCLA where she teaches both graduate and undergraduate courses. She is a founding member of the Center for Autism Research and Treatment at UCLA and has been actively involved in autism research for the past 25 years. Her current research focuses on developing targeted interventions for early social communication development in at risk infants, toddlers and preschoolers with autism, and peer relationships for school aged children with autism. She is involved in several randomized controlled trials, with her most recent work involving multi-site studies for interventions aimed at underserved and under-represented populations of children with autism. She has published widely on topics related to social, emotional, and communication development and intervention in autism. She is on the treatment advisory board of the Autism Speaks Foundation, and regularly presents to both academic and practitioner audiences locally, nationally and internationally.",['Autism Spectrum Disorders'],2018-10-19,1280,720,85278
iTzr7agImr8,UCf9AjM4pnPIawowvvGyvKdw,"Small Wonders, Big Gains: The Preschool Autism Classroom",Fairfax Network - Fairfax County Public Schools,1420,30,1080p,128kbps,"This video is a snapshot of what a preschool autism classroom looks like. A parent, a teacher, and a behavioral specialist provide insight and expertise on the role of early intervention and how it may influence the academic and social interaction of preschool children on the autism spectrum.

This program is archived in the Fairfax Network Video Library and is available as a high-resolution MP4 video to download, record, and save. Registration is required. For more information, visit https://www.fcps.edu/node/34028.","['Preschool (School Category)', 'Autism (Disease Or Medical Condition)', 'Applied Behavior Analysis (ABA)', 'preschool autism', 'special education', 'autism spectrum']",2015-11-13,1920,1080,42557
3mXFJ8S-boU,UCdcrzP2PPte7nmazWopKbPA,"""Helping Preschool Children with Autism: Teachers and Parents as Partners"" Program Overview",The Incredible Years,374,30,1080p,128kbps,A brief overview of the new Incredible Years® Program for both Teachers and Parents working with children on the Autism Spectrum.,"['The Incredible Years', 'Parenting', 'Teacher', 'Children', 'Early Childhood Education (Field Of Study)', 'Autism (Disease Or Medical Condition)', 'Autistic Spectrum Disorders (Disease Or Medical Condition)', 'Preschool', 'Social Emotional Skills']",2015-10-16,1920,1080,11204
V9YDDpo9LWg,UCL8EwWTMmOUDXoMv0yUf8Vg,ABA Therapy: Daniel - Communication,Autism Behavioural Intervention Association,166,25,720p,128kbps,An ABA therapist works with and encourages Daniel to verbally ask for the things he needs to play a game.,"['Autistic Spectrum Disorders (Disease Or Medical Condition)', 'ABA therapy', 'Autism (Disease Or Medical Condition)', 'Autism communication', 'ABIA', 'Autism Behavioural Intervention Association', 'ABA therapy live', 'Applied Behavior Analysis (Medical Treatment)', 'Autism therapy']",2014-03-19,1280,720,4153
GNVTuLHdeSo,UCL8EwWTMmOUDXoMv0yUf8Vg,ABA Therapy - Play,Autism Behavioural Intervention Association,194,25,720p,128kbps,In this video Daniel learns to copy the actions of another person. This is a foundation skill that children use when playing with others.,"['Applied Behavior Analysis (Medical Treatment)', 'Autism (Disease Or Medical Condition)', 'Autistic Spectrum Disorders (Disease Or Medical Condition)', 'autism therapy', 'aba therapy', 'aba therapy live', 'ABA Therapy play', 'ABA videos']",2014-03-23,1280,720,4854
YUdsgQGHSR8,UC0deSyrJ8rJUROPwjUFxjNQ,Sensory Processing Disorder: Occupational Therapy Demonstration,Ann & Robert H. Lurie Children's Hospital of Chicago,266,30,720p,128kbps,"Ann & Robert H. Lurie Children's Hospital of Chicago offers a comprehensive, state-of-the-art Occupational Therapy Program with a vibrant developmental approach. Our skilled and versatile occupational therapy team specializes in the evaluation and treatment of children from premature babies to teenagers with health challenges in the following areas: 

- Fine motor skills involving small muscle movements, use of fingers, and coordination with the eyes and hand movement together.

- Visual perceptual motor skills involving the coordination of the two sides of the body, hearing, seeing, feeling and moving to perform novel functional and motor tasks. 

- Integrating previously experienced information with new learning.
 
- Sensorimotor skills involve incorporating information received from body senses and the environment to carry out appropriate movement skills required for functional living skills, following directions and social skills.

- Social interactions and play skills relating to the use of fine motor, perceptual motor and sensory motor skills while at home and in the community. 

- Upper extremity ability involving the use of shoulders, arms, hands and shoulder girdle for age-appropriate skills and activities.

- See more at: https://www.luriechildrens.org/en-us/care-services/specialties-services/occupational-therapy/Pages/index.aspx#sthash.TH9LWePa.dpuf","['Occupational Therapy (Medical Specialty)', 'Sensory Processing (Medical Treatment)', ""Lurie Children's"", 'Chicago', 'pediatric', 'Rehabilitation (Medical Treatment)', 'Sensory Processing Disorder']",2015-06-09,1280,720,7983
jisAfi381WM,UC2eqFGiFN1NtQ8yTw1oZ7uA,Occupational Therapy Assessment: A Case Study,St. David's Center,208,30,720p,128kbps,"Meet Will, a 5-year-old boy whose teachers and parents noticed that he was struggling with everyday activities. After assessment, Will began occupational therapy services in June of 2016.  Will had trouble with motor skills and sensory processing, which resulted in decreased coordination, balance, visual tracking, and strength. This video highlights snippets of assessments showing Will's progress at the beginning, middle, and end of his occupational therapy intervention. Will made progress through graduated play-based activities that addressed his differences in sensory and motor functions. Watch the results of Will’s hard work unfold over his 10 months at St. David’s Center.","['Occupational Therapy', 'Play', 'Non-Profit', ""St. David's Center"", 'Therapy']",2017-06-06,1280,720,6221
ND7pXuhs3VM,UCYYUNvhURfuC7zFli3TyPig,Occupational Therapy for Sensory Integraton at JCFS IPI in Northbrook,JCFS Chicago,207,30,720p,128kbps,"Sample Occupational Therapy Session at the Integrated Pediatric Interventions Program at Jewish Child & Family Services.  Locations in Northbrook and West Rogers Park.  For information or to ask about scheduling an appointment, call toll-free, 855-ASK-JCFS (855-275-5237), email ask@jcfs.org or visit us at www.jcfs.org/ipi","['speech therapy', 'sensory integration']",2012-05-31,1280,720,6209
ec_OE0WFEOY,UCl3NQcr5M4t-JEjqYjq2wlQ,ABA-therapy for 4 year old autistic son,Autism Market,3860,24,720p,128kbps,"The typical session of ABA-therapy for our son Lucian. I really wanted to show you how it is done in real life with minimum cropping. I used it as a basis for my own sessions with my boy.

There's a few main ideas in this video:
- Change behavior by redirection
- Show enthusiasm to student
- Eliminate distractions
- Offer a variety of tasks
- Give positive reinforcement
- Use food as reinforcement
- Offer choices to student
- Use timer to facilitate transition
- Give student time to respond
- Use things you already have for your therapy session

------------------------
------------------------
Как в реальной жизни проходит сеанс ABA-терапии, почти без вырезки. Это занятие проводил опытный терапевт и я использовала его как базис, на которыя я равнялась в своих занятиях с сыном.

Как видно из видео, есть несхколько основных идей для такой терапии:
 Нежелательное поведение должно быть перенаправлено на другое
Показывайте свой энтузиазм ребенку
Уберите отвлекающие моменты
Проводите занятия структурированно, предлагая различные задания
Предлагайте ребенку позитивные поощрения, в том числе и в виде еды
Используйте таймер для упрощения перехода между занятиями
Предлагайте студенту выбор
Для терапии используйте вещи, которые у вас уже есть в наличии

Удачи,
смотрите мою группу в ВКонтакте: http://vk.com/autismmarket
сайт http://www.autismmarket.com
instagram: https://www.instagram.com/autismmarket/","['ABA', 'therapy', 'autismrecovery', 'behavioral', 'autism', 'autismsuccess', 'Autism success', 'Autism recovery', 'Аутизм', 'Избавление от аутизма', 'Терапия при аутизме', 'Занатия с аутистом', 'ABA терапия', 'Как заниматься с аутистом']",2016-03-07,1280,720,92644
rvIPH4ccfpI,UCSx9MAILUJ_j8NWIHZBI8_w,Augmentative and Alternative Communication AAC,Big Blue Canopy,27,30,1080p,128kbps,Helping children communicate using technology!,[],2021-02-22,1920,1080,812
pzh7M60ujyE,UCRujkqhiAtkHHAXXMJ5AR4w,Autism Program @ Fruitville Elementary School,Sarasota Schools,810,30,1080p,128kbps,"The Autism Program @ Fruitville Elementary School is a great example of the district motto, ""Every Student. Every Day.""  These special needs teachers define dedication to our children and are a reflection of all the dedicated teachers of Sarasota County Schools.  

Produced by Kimberly Stocker for The Education Channel, Office of Communications and Community Relations.  Sarasota County Schools.","['The Education Channel', 'Sarasota County Schools', 'Autism', 'Fruitville Elementary School']",2017-08-21,1920,1080,24275
88pZ5kmV96I,UC2gRePoph6lWNe_pAlSgERQ,PECS/phase1/requesting/speech therapy,Ajay Ramesh,74,30,1080p,128kbps,,[],2020-04-04,1920,1080,2222
9WkwG6uxnBI,UCRcBW8njgEz7-NzrWod8ZYw,How to teach Object to Picture Matching: ABA example,Good Behavior Beginnings,492,30,720p,128kbps,Example of object to picture matching.,"['ABA', 'autism', 'matching', 'Applied Behavior Analysis (Medical Treatment)']",2015-05-15,1280,720,14762
UUwGLDeYN8c,UCXe3gqCj-uoC-zmAa7If_VQ,An Introduction to Joint Attention – teaching your child to engage and enjoy the company of others,1to1 Therapy Services,41,24,1080p,128kbps,"For more information about Joint Attention please visit our website at http://www.1to1therapy.ca/

Joint Attention (shared engagement and enjoyment)

Let’s talk about the building blocks of language…

INTRODUCTION:

- Have you ever wondered how your baby will learn to speak, play and interact with others?

- They start by sharing experiences with their parents. This is known as joint attention.  

- Joint attention occurs in early development and is an essential building block to learning language. 

- Joint attention emerges as early as 2 months and is well established by 18 months of age.","['1to1 Therapy Services', 'Speech Therapy', 'Toronto (City/Town/Village)', 'Joint Attention Child Development Infant Development Language Development', 'Child Development', 'Infant Development', 'Language Development']",2015-09-16,1920,1080,993
pQyNKRHbjRA,UC6E2jTDUnYrtqXh5eZuzDEg,July 2014 Joint Attention training,Paul Napier,73,30,1080p,128kbps,Description,[],2016-06-17,1920,1080,2186
