clip,video_id,channel_id,split
iDg2hR1FPgA_53769-53940,iDg2hR1FPgA,UCMq2jlUH773DkHu4Lpo2JUQ,train
DGls-Z4e6OI_11755-11879,DGls-Z4e6OI,UC0580lt7nrzOCuiQT-MEVUA,train
ljahBVDaBNE_24135-24475,ljahBVDaBNE,UCMq2jlUH773DkHu4Lpo2JUQ,train
jT5WV_7EJr8_3748-4057,jT5WV_7EJr8,UCtKSLA4sBvp4gU-NIGFEQgg,train
Lz0Oh2cxoTU_6450-6517,Lz0Oh2cxoTU,UCMq2jlUH773DkHu4Lpo2JUQ,train
w6oRoyTBmU4_3693-3871,w6oRoyTBmU4,UCRIR6yLqmJcHAHTgIYOBY8Q,train
Lz0Oh2cxoTU_45601-45755,Lz0Oh2cxoTU,UCMq2jlUH773DkHu4Lpo2JUQ,train
DGls-Z4e6OI_10127-10377,DGls-Z4e6OI,UC0580lt7nrzOCuiQT-MEVUA,train
2AT3ped6GsI_238-377,2AT3ped6GsI,UCtKSLA4sBvp4gU-NIGFEQgg,train
YUdsgQGHSR8_2516-2814,YUdsgQGHSR8,UC0deSyrJ8rJUROPwjUFxjNQ,train
iWYy8n6mSwc_7892-8171,iWYy8n6mSwc,UC0580lt7nrzOCuiQT-MEVUA,train
iWYy8n6mSwc_18915-19497,iWYy8n6mSwc,UC0580lt7nrzOCuiQT-MEVUA,train
gsuga2JCcYc_979-1256,gsuga2JCcYc,UCH8X-HBqfvxpHQPzUdEO6EA,train
HUnQ6VE9NIY_4216-4440,HUnQ6VE9NIY,UCtKSLA4sBvp4gU-NIGFEQgg,train
9mNutrRQ1GI_16700-17865,9mNutrRQ1GI,UCP_2hL9I_TCOV-hHAyuWsHg,train
HK25g1U-GF4_954-1392,HK25g1U-GF4,UCPdNVAdC1Ac0vHVEWpR2P7w,train
DGls-Z4e6OI_16204-16323,DGls-Z4e6OI,UC0580lt7nrzOCuiQT-MEVUA,train
DGls-Z4e6OI_6288-6482,DGls-Z4e6OI,UC0580lt7nrzOCuiQT-MEVUA,train
DGls-Z4e6OI_1936-2401,DGls-Z4e6OI,UC0580lt7nrzOCuiQT-MEVUA,train
jSOSCiJx_nM_3339-3518,jSOSCiJx_nM,UCH8X-HBqfvxpHQPzUdEO6EA,train
RzI6Ar5mu2Q_2550-2635,RzI6Ar5mu2Q,UCL8EwWTMmOUDXoMv0yUf8Vg,train
HK25g1U-GF4_350-871,HK25g1U-GF4,UCPdNVAdC1Ac0vHVEWpR2P7w,train
G0NLcryxxgE_200-290,G0NLcryxxgE,UCtKSLA4sBvp4gU-NIGFEQgg,train
iWYy8n6mSwc_15570-15842,iWYy8n6mSwc,UC0580lt7nrzOCuiQT-MEVUA,train
iWYy8n6mSwc_17842-18035,iWYy8n6mSwc,UC0580lt7nrzOCuiQT-MEVUA,train
ec_OE0WFEOY_15649-15701,ec_OE0WFEOY,UCl3NQcr5M4t-JEjqYjq2wlQ,train
DGls-Z4e6OI_16325-16461,DGls-Z4e6OI,UC0580lt7nrzOCuiQT-MEVUA,train
ZAxOyANz3J0_518-614,ZAxOyANz3J0,UCH8X-HBqfvxpHQPzUdEO6EA,train
Cztb-0cliGA_4330-4442,Cztb-0cliGA,UCbQkjf9DtYuiPdpPs5QJB7A,train
r_MB_vPXqkA_490-1507,r_MB_vPXqkA,UCK3uhZWJh8SocdtJVIwt9Fg,train
9mNutrRQ1GI_14699-14947,9mNutrRQ1GI,UCP_2hL9I_TCOV-hHAyuWsHg,train
iWYy8n6mSwc_5881-6244,iWYy8n6mSwc,UC0580lt7nrzOCuiQT-MEVUA,train
DGls-Z4e6OI_21052-21203,DGls-Z4e6OI,UC0580lt7nrzOCuiQT-MEVUA,train
lEeraAOgcKc_836-986,lEeraAOgcKc,UCfN4zYzDdBQAA_oQh93YfCg,train
PO6iJ3tTvcA_4788-4877,PO6iJ3tTvcA,UCDj4EExikV-01HAcInG5tLw,train
gsuga2JCcYc_823-977,gsuga2JCcYc,UCH8X-HBqfvxpHQPzUdEO6EA,train
3rxHweb2fXw_823-2797,3rxHweb2fXw,UC6E2jTDUnYrtqXh5eZuzDEg,train
XyNTKSm69Gs_1-1053,XyNTKSm69Gs,UCNjXz1a_K44oBon2lbCtxpw,train
iZHhWklQwmQ_1356-1546,iZHhWklQwmQ,UCtKSLA4sBvp4gU-NIGFEQgg,train
DGls-Z4e6OI_5417-5718,DGls-Z4e6OI,UC0580lt7nrzOCuiQT-MEVUA,train
4yWavYq9_Ks_809-956,4yWavYq9_Ks,UCbQkjf9DtYuiPdpPs5QJB7A,train
smwfiZd8HLc_16176-16586-downsampled,smwfiZd8HLc,UC6rmcst_CnfHfOUjEtqvN4A,train
GNVTuLHdeSo_712-948,GNVTuLHdeSo,UCL8EwWTMmOUDXoMv0yUf8Vg,train
jSOSCiJx_nM_476-589,jSOSCiJx_nM,UCH8X-HBqfvxpHQPzUdEO6EA,train
jT5WV_7EJr8_1927-2421,jT5WV_7EJr8,UCtKSLA4sBvp4gU-NIGFEQgg,train
iDg2hR1FPgA_17030-17507,iDg2hR1FPgA,UCMq2jlUH773DkHu4Lpo2JUQ,train
iDg2hR1FPgA_16347-16992,iDg2hR1FPgA,UCMq2jlUH773DkHu4Lpo2JUQ,train
smwfiZd8HLc_897-1557-downsampled,smwfiZd8HLc,UC6rmcst_CnfHfOUjEtqvN4A,train
DGls-Z4e6OI_20210-20288,DGls-Z4e6OI,UC0580lt7nrzOCuiQT-MEVUA,train
DGls-Z4e6OI_14779-14977,DGls-Z4e6OI,UC0580lt7nrzOCuiQT-MEVUA,train
Lz0Oh2cxoTU_14104-14994,Lz0Oh2cxoTU,UCMq2jlUH773DkHu4Lpo2JUQ,train
88pZ5kmV96I_900-1048,88pZ5kmV96I,UC2gRePoph6lWNe_pAlSgERQ,train
ZAxOyANz3J0_1363-1457,ZAxOyANz3J0,UCH8X-HBqfvxpHQPzUdEO6EA,train
Y6_S5bipsBk_763-965,Y6_S5bipsBk,UCtKSLA4sBvp4gU-NIGFEQgg,train
gsuga2JCcYc_2184-2402,gsuga2JCcYc,UCH8X-HBqfvxpHQPzUdEO6EA,train
4yWavYq9_Ks_2395-2608,4yWavYq9_Ks,UCbQkjf9DtYuiPdpPs5QJB7A,train
4yWavYq9_Ks_5168-5340,4yWavYq9_Ks,UCbQkjf9DtYuiPdpPs5QJB7A,train
DGls-Z4e6OI_15951-16031,DGls-Z4e6OI,UC0580lt7nrzOCuiQT-MEVUA,train
8db0Gcv3V10_11310-11474,8db0Gcv3V10,UC0580lt7nrzOCuiQT-MEVUA,train
VMtgYMIS_o0_4681-4818,VMtgYMIS_o0,UCV1DOpd_km_2XLIYE1LEFNA,train
G0NLcryxxgE_1426-1625,G0NLcryxxgE,UCtKSLA4sBvp4gU-NIGFEQgg,train
RzI6Ar5mu2Q_1031-1177,RzI6Ar5mu2Q,UCL8EwWTMmOUDXoMv0yUf8Vg,train
jisAfi381WM_2314-2872,jisAfi381WM,UC2eqFGiFN1NtQ8yTw1oZ7uA,train
smwfiZd8HLc_270-891-downsampled,smwfiZd8HLc,UC6rmcst_CnfHfOUjEtqvN4A,train
ec_OE0WFEOY_40598-40742,ec_OE0WFEOY,UCl3NQcr5M4t-JEjqYjq2wlQ,train
Lz0Oh2cxoTU_12550-14053,Lz0Oh2cxoTU,UCMq2jlUH773DkHu4Lpo2JUQ,train
IMrKEA2j278_4931-5209,IMrKEA2j278,UCtKSLA4sBvp4gU-NIGFEQgg,train
gsuga2JCcYc_321-611,gsuga2JCcYc,UCH8X-HBqfvxpHQPzUdEO6EA,train
8db0Gcv3V10_11063-11211,8db0Gcv3V10,UC0580lt7nrzOCuiQT-MEVUA,train
lEeraAOgcKc_450-619,lEeraAOgcKc,UCfN4zYzDdBQAA_oQh93YfCg,train
G0NLcryxxgE_1282-1392,G0NLcryxxgE,UCtKSLA4sBvp4gU-NIGFEQgg,train
1Aea8BH-PCs_948-1055,1Aea8BH-PCs,UCH8X-HBqfvxpHQPzUdEO6EA,train
tw91epryD28_1264-1925,tw91epryD28,UCq2Sm0h2cDmqKtlaonWNUpQ,train
iWYy8n6mSwc_9601-9788,iWYy8n6mSwc,UC0580lt7nrzOCuiQT-MEVUA,train
Dai13S2XbsI_784-990,Dai13S2XbsI,UCPdNVAdC1Ac0vHVEWpR2P7w,train
iWYy8n6mSwc_9140-9457,iWYy8n6mSwc,UC0580lt7nrzOCuiQT-MEVUA,train
3mXFJ8S-boU_4218-4655,3mXFJ8S-boU,UCdcrzP2PPte7nmazWopKbPA,train
gsuga2JCcYc_1567-1727,gsuga2JCcYc,UCH8X-HBqfvxpHQPzUdEO6EA,train
Lu-4VcxuBW0_2517-2591,Lu-4VcxuBW0,UCtKSLA4sBvp4gU-NIGFEQgg,train
HUnQ6VE9NIY_24-1029,HUnQ6VE9NIY,UCtKSLA4sBvp4gU-NIGFEQgg,train
Cmw2H5C_Ves_3621-3747,Cmw2H5C_Ves,UCtKSLA4sBvp4gU-NIGFEQgg,train
Cmw2H5C_Ves_4220-4339,Cmw2H5C_Ves,UCtKSLA4sBvp4gU-NIGFEQgg,train
iWYy8n6mSwc_8384-8850,iWYy8n6mSwc,UC0580lt7nrzOCuiQT-MEVUA,train
Lz0Oh2cxoTU_24789-24823,Lz0Oh2cxoTU,UCMq2jlUH773DkHu4Lpo2JUQ,train
DGls-Z4e6OI_11251-11528,DGls-Z4e6OI,UC0580lt7nrzOCuiQT-MEVUA,train
iWYy8n6mSwc_18040-18538,iWYy8n6mSwc,UC0580lt7nrzOCuiQT-MEVUA,train
ec_OE0WFEOY_31919-31977,ec_OE0WFEOY,UCl3NQcr5M4t-JEjqYjq2wlQ,train
GNVTuLHdeSo_1829-3081,GNVTuLHdeSo,UCL8EwWTMmOUDXoMv0yUf8Vg,train
iDg2hR1FPgA_19399-19781,iDg2hR1FPgA,UCMq2jlUH773DkHu4Lpo2JUQ,train
jSOSCiJx_nM_271-458,jSOSCiJx_nM,UCH8X-HBqfvxpHQPzUdEO6EA,train
F1Q8R2XJ5cs_3004-3231,F1Q8R2XJ5cs,UCbQkjf9DtYuiPdpPs5QJB7A,train
DGls-Z4e6OI_15025-15289,DGls-Z4e6OI,UC0580lt7nrzOCuiQT-MEVUA,train
Lz0Oh2cxoTU_5624-5690,Lz0Oh2cxoTU,UCMq2jlUH773DkHu4Lpo2JUQ,train
ljahBVDaBNE_18525-19117,ljahBVDaBNE,UCMq2jlUH773DkHu4Lpo2JUQ,train
iDg2hR1FPgA_7058-7244,iDg2hR1FPgA,UCMq2jlUH773DkHu4Lpo2JUQ,train
9WkwG6uxnBI_1-1802,9WkwG6uxnBI,UCRcBW8njgEz7-NzrWod8ZYw,train
Lz0Oh2cxoTU_25430-26026,Lz0Oh2cxoTU,UCMq2jlUH773DkHu4Lpo2JUQ,train
Nc3hwh-AFFw_1538-1632,Nc3hwh-AFFw,UCtKSLA4sBvp4gU-NIGFEQgg,train
iWYy8n6mSwc_17592-17828,iWYy8n6mSwc,UC0580lt7nrzOCuiQT-MEVUA,train
jT5WV_7EJr8_1675-1917,jT5WV_7EJr8,UCtKSLA4sBvp4gU-NIGFEQgg,train
3mXFJ8S-boU_1716-2076,3mXFJ8S-boU,UCdcrzP2PPte7nmazWopKbPA,train
MTLKr-8UDYE_652-927,MTLKr-8UDYE,UCtKSLA4sBvp4gU-NIGFEQgg,train
8db0Gcv3V10_5938-6309,8db0Gcv3V10,UC0580lt7nrzOCuiQT-MEVUA,train
DGls-Z4e6OI_4145-4401,DGls-Z4e6OI,UC0580lt7nrzOCuiQT-MEVUA,train
4Y7MMmedX7E_1882-1991,4Y7MMmedX7E,UCtKSLA4sBvp4gU-NIGFEQgg,train
DGls-Z4e6OI_15723-15861,DGls-Z4e6OI,UC0580lt7nrzOCuiQT-MEVUA,train
4yWavYq9_Ks_1735-1827,4yWavYq9_Ks,UCbQkjf9DtYuiPdpPs5QJB7A,train
GNVTuLHdeSo_3143-3955,GNVTuLHdeSo,UCL8EwWTMmOUDXoMv0yUf8Vg,train
jSOSCiJx_nM_595-728,jSOSCiJx_nM,UCH8X-HBqfvxpHQPzUdEO6EA,train
iWYy8n6mSwc_14050-14535,iWYy8n6mSwc,UC0580lt7nrzOCuiQT-MEVUA,train
jSOSCiJx_nM_1806-1980,jSOSCiJx_nM,UCH8X-HBqfvxpHQPzUdEO6EA,train
DGls-Z4e6OI_12503-12693,DGls-Z4e6OI,UC0580lt7nrzOCuiQT-MEVUA,train
iTzr7agImr8_10928-11185,iTzr7agImr8,UCf9AjM4pnPIawowvvGyvKdw,train
PggqMEe9dSQ_1489-2054,PggqMEe9dSQ,UCtKSLA4sBvp4gU-NIGFEQgg,train
PggqMEe9dSQ_905-1060,PggqMEe9dSQ,UCtKSLA4sBvp4gU-NIGFEQgg,train
ljahBVDaBNE_25718-26310,ljahBVDaBNE,UCMq2jlUH773DkHu4Lpo2JUQ,train
w6oRoyTBmU4_1653-1939,w6oRoyTBmU4,UCRIR6yLqmJcHAHTgIYOBY8Q,train
iWYy8n6mSwc_4749-4874,iWYy8n6mSwc,UC0580lt7nrzOCuiQT-MEVUA,train
DGls-Z4e6OI_16463-17068,DGls-Z4e6OI,UC0580lt7nrzOCuiQT-MEVUA,train
1Aea8BH-PCs_3612-3844,1Aea8BH-PCs,UCH8X-HBqfvxpHQPzUdEO6EA,train
iWYy8n6mSwc_9801-10085,iWYy8n6mSwc,UC0580lt7nrzOCuiQT-MEVUA,train
zUdMBtK2UVE_36737-37596,zUdMBtK2UVE,UC9tRyMbnMaUP-t5LHVNfUig,train
DGls-Z4e6OI_22806-23096,DGls-Z4e6OI,UC0580lt7nrzOCuiQT-MEVUA,train
2b1zXYv7Fn8_3325-5040,2b1zXYv7Fn8,UCRcBW8njgEz7-NzrWod8ZYw,train
3mXFJ8S-boU_5848-6239,3mXFJ8S-boU,UCdcrzP2PPte7nmazWopKbPA,train
Cztb-0cliGA_537-637,Cztb-0cliGA,UCbQkjf9DtYuiPdpPs5QJB7A,train
YUdsgQGHSR8_1772-1880,YUdsgQGHSR8,UC0deSyrJ8rJUROPwjUFxjNQ,train
4yWavYq9_Ks_1609-1714,4yWavYq9_Ks,UCbQkjf9DtYuiPdpPs5QJB7A,train
EuYseDl2jm8_3680-3791,EuYseDl2jm8,UCEWl7wBlZzHpr-TSOXEHbUg,train
HK25g1U-GF4_2842-3325,HK25g1U-GF4,UCPdNVAdC1Ac0vHVEWpR2P7w,train
dzaiF1iIc68_638-747,dzaiF1iIc68,UCtKSLA4sBvp4gU-NIGFEQgg,train
88pZ5kmV96I_2100-2222,88pZ5kmV96I,UC2gRePoph6lWNe_pAlSgERQ,train
jSOSCiJx_nM_2662-2717,jSOSCiJx_nM,UCH8X-HBqfvxpHQPzUdEO6EA,train
9mNutrRQ1GI_24458-24524,9mNutrRQ1GI,UCP_2hL9I_TCOV-hHAyuWsHg,train
iWYy8n6mSwc_11949-12164,iWYy8n6mSwc,UC0580lt7nrzOCuiQT-MEVUA,train
js4wxP9HxG0_3496-3539,js4wxP9HxG0,UCRIR6yLqmJcHAHTgIYOBY8Q,train
iWYy8n6mSwc_2055-3079,iWYy8n6mSwc,UC0580lt7nrzOCuiQT-MEVUA,train
iDg2hR1FPgA_13892-14690,iDg2hR1FPgA,UCMq2jlUH773DkHu4Lpo2JUQ,train
smwfiZd8HLc_7508-8408-downsampled,smwfiZd8HLc,UC6rmcst_CnfHfOUjEtqvN4A,train
ec_OE0WFEOY_35495-35785,ec_OE0WFEOY,UCl3NQcr5M4t-JEjqYjq2wlQ,train
WPRrMorSAkQ_3557-4258,WPRrMorSAkQ,UC3R8XrcwJwAzJO4PpoE2RiA,train
iWYy8n6mSwc_5429-5630,iWYy8n6mSwc,UC0580lt7nrzOCuiQT-MEVUA,train
iTzr7agImr8_25865-26145,iTzr7agImr8,UCf9AjM4pnPIawowvvGyvKdw,train
9mNutrRQ1GI_24758-25047,9mNutrRQ1GI,UCP_2hL9I_TCOV-hHAyuWsHg,train
3mXFJ8S-boU_494-895,3mXFJ8S-boU,UCdcrzP2PPte7nmazWopKbPA,train
YUdsgQGHSR8_5816-5831,YUdsgQGHSR8,UC0deSyrJ8rJUROPwjUFxjNQ,train
4Y7MMmedX7E_4371-4987,4Y7MMmedX7E,UCtKSLA4sBvp4gU-NIGFEQgg,train
iWYy8n6mSwc_16691-17091,iWYy8n6mSwc,UC0580lt7nrzOCuiQT-MEVUA,train
smwfiZd8HLc_8799-10332-downsampled,smwfiZd8HLc,UC6rmcst_CnfHfOUjEtqvN4A,train
DGls-Z4e6OI_9760-10125,DGls-Z4e6OI,UC0580lt7nrzOCuiQT-MEVUA,train
DGls-Z4e6OI_15291-15496,DGls-Z4e6OI,UC0580lt7nrzOCuiQT-MEVUA,train
Dai13S2XbsI_4636-5000,Dai13S2XbsI,UCPdNVAdC1Ac0vHVEWpR2P7w,train
pQyNKRHbjRA_1-1822,pQyNKRHbjRA,UC6E2jTDUnYrtqXh5eZuzDEg,train
DGls-Z4e6OI_922-1175,DGls-Z4e6OI,UC0580lt7nrzOCuiQT-MEVUA,train
ljahBVDaBNE_23894-24032,ljahBVDaBNE,UCMq2jlUH773DkHu4Lpo2JUQ,train
ljahBVDaBNE_17977-18466,ljahBVDaBNE,UCMq2jlUH773DkHu4Lpo2JUQ,train
4Y7MMmedX7E_3541-4236,4Y7MMmedX7E,UCtKSLA4sBvp4gU-NIGFEQgg,train
Cztb-0cliGA_1875-1961,Cztb-0cliGA,UCbQkjf9DtYuiPdpPs5QJB7A,train
Dai13S2XbsI_2133-2421,Dai13S2XbsI,UCPdNVAdC1Ac0vHVEWpR2P7w,train
iWYy8n6mSwc_8918-8980,iWYy8n6mSwc,UC0580lt7nrzOCuiQT-MEVUA,train
jSOSCiJx_nM_1640-1789,jSOSCiJx_nM,UCH8X-HBqfvxpHQPzUdEO6EA,train
Cztb-0cliGA_3879-3960,Cztb-0cliGA,UCbQkjf9DtYuiPdpPs5QJB7A,train
DGls-Z4e6OI_20290-20419,DGls-Z4e6OI,UC0580lt7nrzOCuiQT-MEVUA,train
4ktkxv1aNS8_1-1629,4ktkxv1aNS8,UC2MoavNb5sa_m1VP7la5ukQ,train
DGls-Z4e6OI_6484-6729,DGls-Z4e6OI,UC0580lt7nrzOCuiQT-MEVUA,train
8db0Gcv3V10_3239-3398,8db0Gcv3V10,UC0580lt7nrzOCuiQT-MEVUA,train
iTzr7agImr8_22196-22404,iTzr7agImr8,UCf9AjM4pnPIawowvvGyvKdw,train
Cztb-0cliGA_887-958,Cztb-0cliGA,UCbQkjf9DtYuiPdpPs5QJB7A,train
i7GsJrDdCVU_1865-3654,i7GsJrDdCVU,UCq2Sm0h2cDmqKtlaonWNUpQ,train
s0BpHgMB_8o_2941-3142,s0BpHgMB_8o,UCtKSLA4sBvp4gU-NIGFEQgg,train
ljahBVDaBNE_41703-42074,ljahBVDaBNE,UCMq2jlUH773DkHu4Lpo2JUQ,train
4yWavYq9_Ks_3682-3821,4yWavYq9_Ks,UCbQkjf9DtYuiPdpPs5QJB7A,train
lEeraAOgcKc_1509-1714,lEeraAOgcKc,UCfN4zYzDdBQAA_oQh93YfCg,train
iDg2hR1FPgA_47999-48192,iDg2hR1FPgA,UCMq2jlUH773DkHu4Lpo2JUQ,train
HUnQ6VE9NIY_3547-4167,HUnQ6VE9NIY,UCtKSLA4sBvp4gU-NIGFEQgg,train
pzh7M60ujyE_2096-2218,pzh7M60ujyE,UCRujkqhiAtkHHAXXMJ5AR4w,train
PO6iJ3tTvcA_5388-5556,PO6iJ3tTvcA,UCDj4EExikV-01HAcInG5tLw,train
ZAxOyANz3J0_1629-1816,ZAxOyANz3J0,UCH8X-HBqfvxpHQPzUdEO6EA,train
s0BpHgMB_8o_2041-2205,s0BpHgMB_8o,UCtKSLA4sBvp4gU-NIGFEQgg,train
pzh7M60ujyE_16956-17086,pzh7M60ujyE,UCRujkqhiAtkHHAXXMJ5AR4w,train
8db0Gcv3V10_2511-2774,8db0Gcv3V10,UC0580lt7nrzOCuiQT-MEVUA,train
1Aea8BH-PCs_3248-3602,1Aea8BH-PCs,UCH8X-HBqfvxpHQPzUdEO6EA,train
ec_OE0WFEOY_50688-50814,ec_OE0WFEOY,UCl3NQcr5M4t-JEjqYjq2wlQ,train
iWYy8n6mSwc_12172-12757,iWYy8n6mSwc,UC0580lt7nrzOCuiQT-MEVUA,train
iDg2hR1FPgA_10270-10332,iDg2hR1FPgA,UCMq2jlUH773DkHu4Lpo2JUQ,train
DGls-Z4e6OI_11664-11753,DGls-Z4e6OI,UC0580lt7nrzOCuiQT-MEVUA,train
3mXFJ8S-boU_2189-2419,3mXFJ8S-boU,UCdcrzP2PPte7nmazWopKbPA,train
iTzr7agImr8_16653-16712,iTzr7agImr8,UCf9AjM4pnPIawowvvGyvKdw,train
4yWavYq9_Ks_546-694,4yWavYq9_Ks,UCbQkjf9DtYuiPdpPs5QJB7A,train
ljahBVDaBNE_6572-6683,ljahBVDaBNE,UCMq2jlUH773DkHu4Lpo2JUQ,train
iWYy8n6mSwc_10560-10693,iWYy8n6mSwc,UC0580lt7nrzOCuiQT-MEVUA,train
4yWavYq9_Ks_2656-2795,4yWavYq9_Ks,UCbQkjf9DtYuiPdpPs5QJB7A,train
